city_name,longitude,latitude,max_temp,humidity,cloudiness,wind_speed,country,city_date
Penzance,-5.54,50.12,48.0,81,40,23.04,GB,1586852394
Marang,103.21,5.21,91.0,66,20,6.93,MY,1586852395
Jacksonville Beach,-81.39,30.29,73.99,94,75,6.93,US,1586852205
Paamiut,-49.67,61.99,25.5,94,92,4.94,GL,1586852395
Mossamedes,12.15,-15.2,69.8,88,1,6.46,AO,1586852395
Ishigaki,124.16,24.34,68.0,56,75,4.7,JP,1586852395
Malaya Serdoba,44.95,52.47,55.26,47,99,17.13,RU,1586852395
Carnarvon,113.63,-24.87,82.4,74,90,16.11,AU,1586852396
Haines Junction,-137.51,60.75,34.74,67,100,2.3,CA,1586852396
Barstow,-117.02,34.9,59.0,54,90,6.93,US,1586852243
Lavrentiya,-171.0,65.58,27.21,97,100,3.44,RU,1586852396
Kungurtug,97.52,50.6,47.52,30,52,5.01,RU,1586852396
Bengkulu,102.27,-3.8,85.41,69,94,4.0,ID,1586852397
Saint Anthony,-93.22,45.02,24.01,67,1,9.17,US,1586852397
George,22.46,-33.96,66.2,55,20,5.82,ZA,1586852276
Mogadouro,-6.71,41.34,53.47,62,3,7.29,PT,1586852397
Mweka,21.57,-4.85,89.2,46,69,2.08,CD,1586852397
Bubaque,-15.83,11.28,78.19,64,99,7.02,GW,1586852397
Acapulco de Juárez,-99.89,16.86,75.2,88,40,2.82,MX,1586852398
Takoradze,-1.76,4.88,85.03,73,100,5.79,GH,1586852398
San Cristobal,-72.22,7.77,66.58,55,56,1.3,VE,1586852296
Seoul,126.98,37.57,69.8,18,1,4.7,KR,1586852130
Hamilton,-84.53,39.18,39.99,48,20,6.93,US,1586852366
Caravelas,-39.25,-17.71,75.94,86,64,11.7,BR,1586852399
Baracoa,-74.5,20.35,79.32,81,70,14.63,CU,1586852399
Narsaq,-46.05,60.92,23.0,53,82,8.05,GL,1586852399
Mokrousovo,66.77,55.81,45.79,55,25,13.73,RU,1586852400
Oriximiná,-55.87,-1.77,73.29,92,96,1.79,BR,1586852400
Saint George,-113.58,37.1,50.0,15,1,21.92,US,1586852166
Balikpapan,116.83,-1.27,86.0,74,40,6.93,ID,1586852400
Tolaga Bay,178.3,-38.37,53.47,52,10,10.83,NZ,1586852400
Jalu,21.55,29.03,83.26,15,0,16.02,LY,1586852401
Borogontsy,131.17,62.67,32.49,87,1,5.48,RU,1586852401
Katsuura,140.3,35.13,62.01,38,20,27.51,JP,1586852401
Yar-Sale,70.83,66.83,24.84,97,83,9.95,RU,1586852401
King City,-121.13,36.21,50.0,87,1,2.33,US,1586852401
Sapa,120.32,5.15,84.15,63,2,7.07,PH,1586852402
São Domingos,-46.32,-13.4,67.08,78,20,4.76,BR,1586852402
Kazachinskoye,93.28,57.7,55.74,52,8,8.77,RU,1586852402
Dunedin,170.5,-45.87,45.0,78,100,5.99,NZ,1586852402
São Filipe,-24.5,14.9,72.9,75,93,15.82,CV,1586852402
Kosh-Agach,88.67,50.0,46.04,33,100,3.11,RU,1586852402
Honningsvåg,25.97,70.98,37.4,74,75,12.75,NO,1586852403
Ancud,-73.82,-41.87,41.0,100,20,2.24,CL,1586852403
Marrakesh,-8.01,31.63,60.8,72,40,5.82,MA,1586852403
North Bend,-124.22,43.41,42.8,81,1,3.36,US,1586852403
Carutapera,-46.02,-1.2,77.95,86,100,9.46,BR,1586852404
Show Low,-110.03,34.25,37.4,39,1,3.36,US,1586852404
Chapais,-74.85,49.78,23.0,79,90,20.8,CA,1586852404
Sechura,-80.82,-5.56,73.11,78,97,9.31,PE,1586852404
Kaitangata,169.85,-46.28,45.0,64,99,24.0,NZ,1586852404
Krasnoarmiys'k,37.18,48.28,55.15,44,92,17.98,UA,1586852404
